Flow_31,Flow_32,Flow_41,Flow_42,Flow_5,Speed_31,Speed_32,Speed_41,Speed_42,Speed_5,Y
56,18,2,3,1,18,18,14,14,18,1
162,52,3,11,4,75,75,68,68,68,1
98,45,2,18,11,104,100,91,90,90,1
60,13,1,9,12,18,19,18,21,21,1
141,49,4,20,10,104,100,95,93,93,1
129,47,3,25,21,104,100,93,93,86,1
137,40,4,15,16,104,100,93,90,90,1
181,76,6,19,10,97,97,90,86,82,1
13,4,1,4,9,109,104,95,91,86,1
155,58,3,23,27,100,100,90,88,82,1
139,47,4,15,7,100,100,91,90,90,1
159,70,3,18,6,97,93,90,90,82,1
131,27,2,3,3,108,108,91,90,90,1
168,30,4,1,1,97,97,86,79,75,1
254,44,7,1,1,43,43,43,45,36,1
290,75,9,5,6,46,46,46,46,46,1
191,42,6,3,1,100,100,95,86,88,1
26,7,2,2,1,104,97,90,79,75,1
181,41,6,4,1,32,32,32,28,32,1
171,47,4,8,3,64,64,59,61,57,1
207,48,5,4,2,75,75,75,66,63,1
206,57,11,12,10,46,46,57,59,61,1
260,68,16,12,5,86,86,90,86,82,1
35,14,2,5,11,108,108,104,88,79,1
89,31,5,5,17,79,75,73,75,72,1
110,56,2,24,32,72,68,70,68,68,1
98,46,1,16,26,68,68,57,64,68,1
173,58,8,12,11,90,86,84,75,79,1
67,22,1,9,5,93,91,86,75,68,1
